Country Code,Country Name,Continent,Geographical Region
AUS,Australia,Oceania,Oceania
AUT,Austria,Europe,Europe
BEL,Belgium,Europe,Europe
BGR,Bulgaria,Europe,Europe
CAN,Canada,North America,North America
CHE,Switzerland,Europe,Europe
CHL,Chile,South America,South America
COL,Colombia,South America,South America
CRI,Costa Rica,North America,North America
CZE,Czech Republic,Europe,Europe
DEU,Germany,Europe,Europe
DNK,Denmark,Europe,Europe
ESP,Spain,Europe,Europe
EST,Estonia,Europe,Europe
FIN,Finland,Europe,Europe
FRA,France,Europe,Europe
GBR,United Kingdom,Europe,Europe
GRC,Greece,Europe,Europe
HUN,Hungary,Europe,Europe
IRL,Ireland,Europe,Europe
ISL,Iceland,Europe,Europe
ISR,Israel,Asia,Middle East
ITA,Italy,Europe,Europe
JPN,Japan,Asia,Asia
KOR,South Korea,Asia,Asia
LTU,Lithuania,Europe,Europe
LUX,Luxembourg,Europe,Europe
LVA,Latvia,Europe,Europe
MEX,Mexico,North America,North America
NLD,Netherlands,Europe,Europe
NOR,Norway,Europe,Europe
NZL,New Zealand,Oceania,Oceania
POL,Poland,Europe,Europe
PRT,Portugal,Europe,Europe
SVK,Slovakia,Europe,Europe
SVN,Slovenia,Europe,Europe
SWE,Sweden,Europe,Europe
TUR,Turkey,Asia,Middle East
USA,United States of America,North America,North America